pax_reserva;pax_reserva_menor;pax_real;dia_reserva;id_visita;dia_visita;hora_visita;id_idioma_visita;id_origen_reserva;realitzat
1;0;1;04/11/2021;1;12/06/2021;100000;1;5;0
2;0;2;05/11/2021;1;12/03/2021;100000;1;5;1
3;0;3;05/11/2021;1;12/29/2021;100000;1;5;0
3;0;3;05/11/2021;2;12/29/2021;160000;1;5;0
4;0;4;05/11/2021;1;12/20/2021;103000;2;5;1
3;0;3;05/11/2021;1;12/20/2021;103000;2;5;1
1;0;1;05/11/2021;1;12/30/2021;100000;1;5;1
2;0;1;05/11/2021;1;12/07/2021;100000;1;5;1
3;0;3;05/11/2021;1;12/05/2021;100000;1;5;1
1;0;1;05/11/2021;2;02/12/2022;160000;1;5;0
3;0;3;05/11/2021;1;12/03/2021;100000;1;5;1
1;0;1;05/11/2021;1;12/12/2021;100000;1;5;0
1;0;1;05/11/2021;1;02/08/2022;100000;1;5;0
1;0;1;05/11/2021;3;02/09/2022;110000;1;5;0
3;0;2;05/11/2021;1;12/11/2021;100000;1;5;1
3;0;2;05/11/2021;2;12/11/2021;160000;1;5;1
3;0;2;05/11/2021;3;12/12/2021;110000;1;5;1
2;0;2;05/11/2021;1;12/14/2021;100000;1;5;0
2;0;2;05/11/2021;1;12/05/2021;100000;1;5;1
1;0;1;06/11/2021;1;12/29/2021;100000;1;5;0
1;0;1;06/11/2021;2;12/29/2021;160000;1;5;0
3;0;3;06/11/2021;1;12/06/2021;100000;1;5;0
2;0;2;06/11/2021;1;12/27/2021;100000;1;5;1
2;0;2;06/11/2021;1;12/28/2021;100000;1;5;0
5;0;4;06/11/2021;1;12/04/2021;100000;1;5;1
4;0;4;06/11/2021;1;12/06/2021;100000;1;5;1
4;0;4;06/11/2021;1;12/28/2021;100000;1;5;1
2;0;2;06/11/2021;1;12/04/2021;100000;1;5;1
2;0;2;06/11/2021;2;12/02/2021;160000;1;5;0
1;0;1;06/11/2021;1;2/19/2022;100000;1;5;0
4;0;4;06/11/2021;2;12/27/2021;160000;1;5;1
4;0;2;06/11/2021;1;12/27/2021;100000;1;5;1
2;0;2;06/11/2021;2;12/23/2021;160000;1;5;1
4;0;4;06/11/2021;1;12/26/2021;100000;1;5;1
2;0;2;06/11/2021;1;5/28/2022;100000;1;5;1
1;0;1;06/11/2021;2;12/27/2021;160000;1;5;0
2;0;2;06/11/2021;1;12/04/2021;103000;2;5;0
1;0;1;06/11/2021;2;12/14/2021;160000;1;5;1
1;0;1;07/11/2021;1;12/07/2021;100000;1;5;0
2;0;2;07/11/2021;1;12/26/2021;100000;1;5;1
2;0;2;07/11/2021;3;01/02/2022;110000;1;5;0
1;0;1;07/11/2021;2;12/07/2021;160000;1;5;0
1;0;1;07/11/2021;3;12/08/2021;110000;1;5;0
1;0;1;07/11/2021;1;12/19/2021;100000;1;5;0
2;0;2;07/11/2021;1;12/11/2021;100000;1;5;0
4;0;4;07/11/2021;1;12/04/2021;100000;1;5;1
2;0;2;07/11/2021;1;12/04/2021;100000;1;5;1
2;0;2;07/11/2021;3;12/05/2021;110000;1;5;1
2;0;2;07/11/2021;2;12/04/2021;160000;1;5;1
2;0;2;07/11/2021;1;12/04/2021;100000;1;5;1
2;0;2;07/11/2021;3;12/05/2021;110000;1;5;1
2;0;2;07/11/2021;1;12/06/2021;100000;1;5;0
6;0;4;07/11/2021;1;12/11/2021;100000;1;5;1
2;0;2;07/11/2021;1;12/04/2021;100000;1;5;1
3;0;3;07/11/2021;1;12/04/2021;100000;1;5;1
2;0;2;07/11/2021;1;12/04/2021;100000;1;5;0
2;0;2;07/11/2021;2;12/05/2021;160000;1;5;1
1;0;1;07/11/2021;1;12/13/2021;100000;1;5;0
2;0;2;07/11/2021;1;12/05/2021;100000;1;5;1
2;0;2;07/11/2021;1;12/07/2021;100000;1;5;1
4;0;4;07/11/2021;1;12/05/2021;100000;1;5;1
2;0;2;08/11/2021;1;12/08/2021;100000;1;5;1
1;0;1;08/11/2021;1;12/10/2021;100000;1;5;0
2;0;2;08/11/2021;1;12/05/2021;100000;1;5;0
2;0;2;08/11/2021;1;12/28/2021;100000;1;5;1
2;0;2;08/11/2021;2;12/05/2021;160000;1;5;0
2;0;2;08/11/2021;2;12/06/2021;160000;1;5;1
2;0;2;08/11/2021;3;12/05/2021;110000;1;5;0
2;0;2;08/11/2021;1;12/05/2021;100000;1;5;1
2;0;2;08/11/2021;1;12/04/2021;100000;1;5;1
3;0;3;08/11/2021;1;12/05/2021;100000;1;5;1
2;0;2;08/11/2021;1;01/02/2022;100000;1;5;0
1;0;1;08/11/2021;2;2/13/2022;160000;1;5;0
1;0;1;08/11/2021;1;2/14/2022;100000;1;5;0
2;0;2;08/11/2021;1;01/08/2022;100000;1;5;1
2;0;2;08/11/2021;1;12/07/2021;100000;1;5;1
